route_id,stop_id,sequence,distance,count
17S,41881,8,2.149,36
17S,41879,9,2.337,36
17S,41877,10,2.542,36
17S,41874,11,2.7,36
17S,41872,12,2.892,36
17S,41870,13,3.171,36
17S,41868,14,3.279,36
17S,41866,15,3.551,36
17S,41863,16,3.814,36
17S,41861,17,4.229,36
17S,41859,18,4.431,36
17S,41857,19,4.688,36
17S,41855,20,4.983,36
17S,41853,21,5.282,36
17S,41851,22,5.625,36
17S,41850,23,5.886,36
17S,41847,24,6.306,36
17S,41845,25,6.467,36
17S,41843,26,6.747,36
17S,41835,27,6.957,36
17S,41838,28,7.307,36
17S,41836,29,7.499,36
17S,41840,30,7.652,36
17S,41832,31,7.948,36
17S,41830,32,8.063,36
17S,41827,33,8.707,36
17S,41825,34,8.95,36
17S,41823,35,9.207,36
17S,41821,36,9.424,36
17S,41819,37,9.649,36
17S,41815,38,9.883,36
17S,41816,39,10.133,36
17S,41812,40,10.368,36
17S,41810,41,10.596,36
17S,41808,42,10.896,36
17S,41806,43,11.047,36
17S,41803,44,11.327,36
17S,41801,45,11.552,36
17S,41799,46,11.795,36
17S,41797,47,12.067,36
17S,41795,48,12.305,36
17S,41876,49,12.588,36
903S,41197,1,0.298,25
903S,43260,2,0.541,27
903S,41190,3,0.662,27
903S,46280,4,0.805,27
903S,41784,5,0.943,27
903S,41785,6,1.141,27
903S,41787,7,1.39,27
903S,46281,8,1.569,27
903S,46282,9,1.799,27
903S,46283,10,3.209,27
903S,46284,11,3.502,27
903S,46285,12,3.662,27
903S,46286,13,4.008,27
903S,46287,14,4.184,27
903S,46288,15,4.396,27
903S,46289,16,4.759,27
903S,46640,17,5.051,27
903S,42920,18,5.144,27
903S,42940,19,5.339,27
903S,42964,20,5.659,27
903S,42987,21,5.817,27
903S,42885,22,6.009,27
903S,42908,23,6.27,27
903S,42914,24,6.488,27
903S,42916,25,6.8,27
903S,42918,26,7.011,27
